,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,63.03,81,99,4.0,overcast clouds
1,Mahebourg,MU,-20.4081,57.7,68.29,73,40,6.91,scattered clouds
2,Busselton,AU,-33.65,115.3333,59.02,90,100,10.74,light rain
3,Isangel,VU,-19.55,169.2667,78.91,73,75,4.61,broken clouds
4,Drinovci,BA,43.355,17.3539,67.08,79,4,3.98,clear sky
5,Norman Wells,CA,65.282,-126.8329,75.24,22,40,11.5,scattered clouds
6,Abu Samrah,SY,35.3029,37.1841,69.69,63,0,7.27,clear sky
7,Zhezkazgan,KZ,47.8043,67.7144,73.38,40,0,8.95,clear sky
8,Lorengau,PG,-2.0226,147.2712,84.15,70,65,5.44,broken clouds
9,Santiago,CL,-33.4569,-70.6483,53.85,68,75,2.3,broken clouds
10,Thompson,CA,55.7435,-97.8558,64.56,59,75,5.75,broken clouds
11,Aqtobe,KZ,50.2797,57.2072,73.49,56,40,11.18,scattered clouds
12,Severo-Kurilsk,RU,50.6789,156.125,48.45,87,79,17.63,broken clouds
13,La Ronge,CA,55.1001,-105.2842,66.45,52,75,8.05,broken clouds
14,Vardo,NO,70.3705,31.1107,42.78,87,95,4.61,overcast clouds
15,Flinders,AU,-34.5833,150.8552,67.37,56,97,5.99,overcast clouds
16,Rabaul,PG,-4.1967,152.1721,84.54,68,60,6.69,broken clouds
17,Gamba,GA,-2.65,10.0,67.82,91,4,4.12,clear sky
18,Port Alfred,ZA,-33.5906,26.891,62.85,72,88,5.46,overcast clouds
19,Bloemfontein,ZA,-29.1211,26.214,45.88,93,100,4.61,light rain
20,Mezen,RU,65.8522,44.24,45.52,64,13,2.98,few clouds
21,Tiksi,RU,71.6872,128.8694,39.88,61,100,22.15,overcast clouds
22,Port Lincoln,AU,-34.7333,135.8667,63.46,54,4,21.14,clear sky
23,Iqaluit,CA,63.7506,-68.5145,38.93,70,75,5.75,broken clouds
24,Cidreira,BR,-30.1811,-50.2056,61.11,97,99,4.41,overcast clouds
25,Pimentel,PE,-6.8367,-79.9342,62.51,84,30,14.23,scattered clouds
26,Novo Aripuana,BR,-5.1206,-60.3797,72.61,69,0,2.98,clear sky
27,Hobart,AU,-42.8794,147.3294,60.26,69,75,12.66,broken clouds
28,Cabo San Lucas,MX,22.8909,-109.9124,90.7,51,0,14.97,clear sky
29,Chuy,UY,-33.6971,-53.4616,51.96,68,100,9.69,overcast clouds
30,Maniitsoq,GL,65.4167,-52.9,38.25,86,80,1.9,broken clouds
31,Moose Factory,CA,51.2585,-80.6094,59.0,72,75,5.75,broken clouds
32,Pevek,RU,69.7008,170.3133,43.65,63,100,10.38,overcast clouds
33,Vanavara,RU,60.34,102.2797,57.72,80,100,3.29,overcast clouds
34,Timmins,CA,48.4669,-81.3331,58.82,63,20,4.61,few clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,88,0,18.75,clear sky
36,Aklavik,CA,68.2191,-135.0107,77.88,26,100,12.33,overcast clouds
37,Ilulissat,GL,69.2167,-51.1,35.62,87,100,4.61,overcast clouds
38,Yar-Sale,RU,66.8333,70.8333,71.98,58,6,7.29,clear sky
39,Saskylakh,RU,71.9167,114.0833,52.3,42,71,8.7,broken clouds
40,Cape Town,ZA,-33.9258,18.4232,60.12,94,100,2.3,moderate rain
41,East London,ZA,-33.0153,27.9116,62.04,78,100,9.46,overcast clouds
42,Avera,US,33.194,-82.5271,83.71,31,3,7.38,clear sky
43,Khatanga,RU,71.9667,102.5,54.93,35,92,12.55,overcast clouds
44,Paamiut,GL,61.994,-49.6678,37.38,93,12,21.21,few clouds
45,Ban Chang,TH,12.7254,101.0553,87.73,90,40,5.75,thunderstorm with rain
46,Vetapalem,IN,15.7833,80.3167,86.72,61,100,8.97,overcast clouds
47,Novouzensk,RU,50.4592,48.1431,73.2,57,100,2.59,overcast clouds
48,Bluff,NZ,-46.6,168.3333,44.8,57,84,6.26,broken clouds
49,Yellowknife,CA,62.456,-114.3525,70.32,28,20,8.99,few clouds
50,Butaritari,KI,3.0707,172.7902,81.73,76,99,10.54,light rain
51,Papetoai,PF,-17.4961,-149.8729,80.19,72,50,11.7,scattered clouds
52,Vaini,TO,-21.2,-175.2,77.16,61,20,11.5,few clouds
53,Mataura,NZ,-46.1927,168.8643,44.47,53,96,1.63,overcast clouds
54,Ushuaia,AR,-54.8,-68.3,35.26,93,100,21.85,light rain
55,Acajutla,SV,13.5928,-89.8275,78.35,83,97,1.16,moderate rain
56,Grand Gaube,MU,-20.0064,57.6608,68.4,75,23,3.0,few clouds
57,Joshimath,IN,30.5667,79.5667,74.21,45,0,2.24,clear sky
58,Dong Hoi,VN,17.4833,106.6,89.76,59,36,4.41,scattered clouds
59,Saint Anthony,US,45.0205,-93.218,78.73,56,0,4.61,clear sky
60,Lata,PT,40.1629,-8.3327,57.07,97,11,2.24,few clouds
61,Bengkulu,ID,-3.8004,102.2655,77.97,85,100,2.84,overcast clouds
62,Ribeira Grande,PT,38.5167,-28.7,65.21,82,96,17.11,overcast clouds
63,Warrington,GB,53.3925,-2.5802,58.86,84,29,2.3,scattered clouds
64,Mirador,BR,-6.3708,-44.3631,71.29,53,23,1.61,few clouds
65,Hermanus,ZA,-34.4187,19.2345,59.81,84,100,11.1,overcast clouds
66,Makakilo City,US,21.3469,-158.0858,80.92,56,75,18.41,broken clouds
67,Boa Vista,BR,2.8197,-60.6733,78.78,83,40,5.75,scattered clouds
68,Dingle,PH,10.9995,122.6711,85.51,70,63,4.29,broken clouds
69,Embonas,GR,36.2269,27.8564,73.53,72,0,5.88,clear sky
70,Rikitea,PF,-23.1203,-134.9692,75.7,73,12,13.76,few clouds
71,Olinda,BR,-8.0089,-34.8553,69.53,100,0,5.75,light rain
72,Nishihara,JP,26.1842,127.7558,87.85,76,20,14.97,few clouds
73,Nizhniy Kuranakh,RU,58.8353,125.4869,68.25,59,80,8.5,broken clouds
74,Nemuro,JP,43.3236,145.575,50.4,92,100,10.16,overcast clouds
75,Batagay,RU,67.6333,134.6333,57.92,44,48,5.41,scattered clouds
76,Alice Springs,AU,-23.7,133.8833,69.22,32,0,10.36,clear sky
77,Tenkodogo,BF,11.78,-0.3697,77.2,73,99,5.55,overcast clouds
78,Kodiak,US,57.79,-152.4072,63.91,59,0,6.91,smoke
79,Palmer,US,42.1584,-72.3287,60.62,86,75,0.0,mist
80,El Salto,MX,20.3333,-104.5,66.96,81,83,1.95,broken clouds
81,Hobyo,SO,5.3505,48.5268,77.5,79,98,22.68,overcast clouds
82,Torbay,CA,47.6666,-52.7314,58.39,78,20,10.36,few clouds
83,Castro,BR,-24.7911,-50.0119,58.95,89,0,4.56,clear sky
84,Bjornevatn,NO,69.6672,29.9847,46.02,87,0,6.91,clear sky
85,Nanortalik,GL,60.1432,-45.2371,40.66,80,0,15.88,clear sky
86,Taksimo,RU,56.3444,114.8794,55.18,89,100,2.89,overcast clouds
87,Tuatapere,NZ,-46.1333,167.6833,49.19,59,81,3.94,broken clouds
88,Araouane,ML,18.9048,-3.5265,95.4,18,99,6.73,overcast clouds
89,Todos Santos,MX,23.45,-110.2167,74.66,77,7,6.49,clear sky
90,Graham,US,47.0529,-122.2943,69.69,69,75,8.05,broken clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,96,8.43,overcast clouds
